,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_SILENT
97,000518.SZ,000518,四环生物,生物制药,4.14,True
98,000519.SZ,000519,中兵红箭,矿物制品,8.9,True
99,000520.SZ,000520,长航凤凰,水运,3.13,True
100,000523.SZ,000523,广州浪奇,日用化工,2.58,True
101,000524.SZ,000524,岭南控股,酒店餐饮,8.6,True
102,000525.SZ,000525,红太阳,农药化肥,6.08,True
103,000526.SZ,000526,紫光学大,文教休闲,38.92,True
104,000528.SZ,000528,柳工,工程机械,9.19,True
105,000529.SZ,000529,广弘控股,食品,6.19,True
106,000531.SZ,000531,穗恒运A,火力发电,9.71,True
107,000532.SZ,000532,华金资本,多元金融,10.32,True
108,000533.SZ,000533,顺钠股份,电气设备,3.07,True
109,000534.SZ,000534,万泽股份,生物制药,12.89,True
110,000537.SZ,000537,广宇发展,区域地产,6.01,True
111,000538.SZ,000538,云南白药,中成药,122.5,True
112,000539.SZ,000539,粤电力A,火力发电,3.98,True
113,000540.SZ,000540,中天金融,多元金融,2.79,True
114,000541.SZ,000541,佛山照明,家用电器,6.31,True
115,000543.SZ,000543,皖能电力,火力发电,4.24,True
116,000544.SZ,000544,中原环保,环境保护,6.77,True
117,000545.SZ,000545,金浦钛业,化工原料,3.02,True
118,000546.SZ,000546,金圆股份,水泥,7.6,True
119,000547.SZ,000547,航天发展,通信设备,17.01,True
120,000548.SZ,000548,湖南投资,路桥,3.93,True
121,000551.SZ,000551,创元科技,专用机械,9.25,True
122,000552.SZ,000552,靖远煤电,煤炭开采,2.95,True
123,000553.SZ,000553,安道麦A,农药化肥,8.85,True
124,000554.SZ,000554,泰山石油,石油贸易,4.6,True
125,000555.SZ,000555,神州信息,软件服务,13.26,True
126,000557.SZ,000557,西部创业,铁路,4.03,True
127,000558.SZ,000558,莱茵体育,文教休闲,3.26,True
128,000559.SZ,000559,万向钱潮,汽车配件,5.02,True
129,000560.SZ,000560,我爱我家,房产服务,3.76,True
130,000561.SZ,000561,烽火电子,通信设备,6.47,True
131,000563.SZ,000563,陕国投A,多元金融,3.38,True
132,000565.SZ,000565,渝三峡A,染料涂料,4.87,True
133,000566.SZ,000566,海南海药,化学制药,5.73,True
134,000567.SZ,000567,海德股份,多元金融,8.94,True
135,000568.SZ,000568,泸州老窖,白酒,200.99,True
136,000570.SZ,000570,苏常柴A,机械基件,5.72,True
137,000573.SZ,000573,粤宏远A,区域地产,2.74,True
138,000581.SZ,000581,威孚高科,汽车配件,23.32,True
139,000582.SZ,000582,北部湾港,港口,10.66,True
140,000584.SZ,000584,哈工智能,专用机械,7.24,True
141,000586.SZ,000586,汇源通信,通信设备,7.05,True
142,000589.SZ,000589,贵州轮胎,汽车配件,7.2,True
143,000590.SZ,000590,启迪药业,中成药,7.7,True
144,000593.SZ,000593,大通燃气,供气供热,4.83,True
145,000596.SZ,000596,古井贡酒,白酒,186.37,True
146,000597.SZ,000597,东北制药,化学制药,4.61,True
147,000598.SZ,000598,兴蓉环境,水务,5.18,True
148,000599.SZ,000599,青岛双星,汽车配件,4.2,True
149,000600.SZ,000600,建投能源,火力发电,5.72,True
150,000601.SZ,000601,韶能股份,水力发电,6.25,True
151,000603.SZ,000603,盛达资源,铅锌,13.77,True
152,000605.SZ,000605,渤海股份,水务,5.48,True
153,000607.SZ,000607,华媒控股,广告包装,3.87,True
154,000608.SZ,000608,阳光股份,区域地产,3.16,True
155,000609.SZ,000609,中迪投资,区域地产,3.93,True
156,000610.SZ,000610,西安旅游,旅游服务,10.64,True
157,000615.SZ,000615,奥园美谷,化纤,11.58,True
158,000616.SZ,000616,海航投资,全国地产,2.4,True
159,000617.SZ,000617,中油资本,多元金融,6.3,True
160,000619.SZ,000619,海螺型材,其他建材,6.0,True
161,000620.SZ,000620,新华联,全国地产,2.33,True
162,000622.SZ,000622,恒立实业,汽车配件,3.53,True
163,000623.SZ,000623,吉林敖东,化学制药,15.81,True
164,000625.SZ,000625,长安汽车,汽车整车,15.1,True
165,000626.SZ,000626,远大控股,商贸代理,15.16,True
166,000627.SZ,000627,天茂集团,保险,4.22,True
167,000628.SZ,000628,高新发展,园区开发,9.26,True
168,000629.SZ,000629,攀钢钒钛,小金属,2.33,True
169,000630.SZ,000630,铜陵有色,铜,2.94,True
170,000631.SZ,000631,顺发恒业,区域地产,3.14,True
171,000632.SZ,000632,三木集团,综合类,3.5,True
172,000633.SZ,000633,合金投资,综合类,6.35,True
173,000635.SZ,000635,英力特,化工原料,9.28,True
174,000636.SZ,000636,风华高科,元器件,27.98,True
175,000637.SZ,000637,茂化实华,石油加工,3.89,True
176,000638.SZ,000638,万方发展,软件服务,5.2,True
177,000639.SZ,000639,西王食品,食品,5.3,True
178,000650.SZ,000650,仁和药业,中成药,6.33,True
179,000651.SZ,000651,格力电器,家用电器,60.0,True
180,000652.SZ,000652,泰达股份,批发业,4.25,True
181,000656.SZ,000656,金科股份,区域地产,7.33,True
182,000659.SZ,000659,珠海中富,广告包装,3.84,True
183,000661.SZ,000661,长春高新,生物制药,404.66,True
184,000662.SZ,000662,天夏退,,0.23,True
185,000665.SZ,000665,湖北广电,影视音像,3.93,True
186,000666.SZ,000666,经纬纺机,多元金融,7.65,True
187,000667.SZ,000667,美好置业,全国地产,2.03,True
188,000668.SZ,000668,荣丰控股,区域地产,13.48,True
189,000671.SZ,000671,阳光城,区域地产,6.43,True
190,000676.SZ,000676,智度股份,互联网,5.6,True
191,000677.SZ,000677,恒天海龙,化纤,2.78,True
192,000678.SZ,000678,襄阳轴承,机械基件,4.95,True
193,000680.SZ,000680,山推股份,工程机械,4.13,True
194,000682.SZ,000682,东方电子,软件服务,4.63,True
195,000683.SZ,000683,远兴能源,化工原料,2.68,True
196,000685.SZ,000685,中山公用,水务,8.37,True
197,000686.SZ,000686,东北证券,证券,8.62,True
198,000690.SZ,000690,宝新能源,火力发电,6.64,True
199,000691.SZ,000691,亚太实业,化工原料,5.07,True
200,000695.SZ,000695,滨海能源,广告包装,5.56,True
201,000697.SZ,000697,炼石航空,航空,7.99,True
202,000698.SZ,000698,沈阳化工,化工原料,7.86,True
203,000700.SZ,000700,模塑科技,汽车配件,5.01,True
204,000701.SZ,000701,厦门信达,综合类,4.79,True
205,000702.SZ,000702,正虹科技,饲料,5.17,True
206,000703.SZ,000703,恒逸石化,化纤,15.61,True
207,000705.SZ,000705,浙江震元,医药商业,6.77,True
