code,name,past_p_change,past_positive,pe
002760,凤形股份,-55.9295467328067,,0.0
300110,华仁药业,-52.40509513657232,,252.69
002178,延华智能,-51.18262545286315,★,0.0
002569,步森股份,-43.56941702264544,★,0.0
000820,神雾节能,-42.72724598903959,,21.05
300064,豫金刚石,-41.604232514418136,,44.58
002188,ST巴士,-40.440314020116716,,16.98
603988,中电电机,-38.972021943855026,,103.04
002069,獐子岛,-37.217343153977275,,30.0
300157,恒泰艾普,-36.69223097880333,★,42.89
002054,德美化工,-35.75231316153678,★,59.94
300167,迪威迅,-35.41981662609829,,0.0
600112,*ST天成,-34.91316786600455,,111.88
002856,美芝股份,-34.80519693107244,★,59.13
002694,顾地科技,-34.51530071355068,,325.91
000506,中润资源,-32.20864313308937,,0.0
002321,华英农业,-32.045137039203375,,69.28
002012,凯恩股份,-32.02204960262552,,110.19
002297,博云新材,-31.093186682907415,,0.0
300156,神雾环保,-31.06875745662855,,14.99
300566,激智科技,-30.512823702663937,,60.13
002650,加加食品,-30.12531198889573,,33.63
300225,金力泰,-30.06764764693206,,105.79
000806,银河生物,-29.431759115461055,,2152.91
603286,日盈电子,-29.271692062163133,★,76.22
603058,永吉股份,-29.138695082115305,★,88.61
002278,神开股份,-28.96469813263145,,0.0
600804,鹏博士,-28.687288409764054,,22.2
300312,邦讯技术,-28.603501783625205,,0.0
600227,赤天化,-28.12666389561248,,0.0
002112,三变科技,-27.643191479443885,,0.0
002729,好利来,-27.356853312766518,,100.53
603499,翔港科技,-26.585133111063218,★,51.86
300042,朗科科技,-26.289370733749518,★,63.44
002606,大连电瓷,-26.004611029558955,★,42.18
600355,精伦电子,-25.618755680516436,★,0.0
603088,宁波精达,-25.587942871141124,,88.16
300680,隆盛科技,-25.199388179572146,★,101.1
000503,海虹控股,-25.190866367560815,★,0.0
002847,盐津铺子,-24.72766289895082,★,40.44
603011,合锻智能,-24.551377306019894,★,73.62
600818,中路股份,-24.17478257907718,★,126.52
300237,美晨生态,-23.92964129751696,,19.88
603637,镇海股份,-23.903861512420587,★,53.14
000929,兰州黄河,-23.064024874846435,★,53.82
300256,星星科技,-22.686718433674745,,50.67
603477,振静股份,-22.521010495560045,★,48.02
002161,远 望 谷,-22.23769923293599,,0.0
002879,长缆科技,-22.098553784329866,★,33.93
002865,钧达股份,-21.88994229895601,★,39.02
603603,博天环境,-21.78904790729407,,57.27
002213,特 尔 佳,-21.647556394064015,,171.23
002132,恒星科技,-21.154514569674486,★,35.78
300092,科新机电,-20.979052095760387,★,247.6
002799,环球印务,-20.56597288443285,★,96.95
002596,海南瑞泽,-20.56076032879308,,73.92
002231,奥维通信,-20.375814900392097,★,0.0
600401,*ST海润,-20.19214444045383,,0.0
002212,南洋股份,-20.100653027557424,,399.12
300266,兴源环境,-19.905558103275933,,35.1
603655,朗博科技,-19.727988786274597,★,64.93
603398,邦宝益智,-19.67019780411804,,46.08
300435,中泰股份,-19.666313612780616,★,42.77
603778,乾景园林,-19.640869404644533,,65.19
002168,深圳惠程,-19.634639318324943,,0.0
000693,*ST华泽,-19.409729997793256,,0.0
002076,雪 莱 特,-19.369903264012535,,73.63
002288,超华科技,-19.3144528916503,,89.94
002579,中京电子,-19.29303169404426,★,288.39
600048,保利地产,-19.26152485883209,,16.23
002893,华通热力,-19.08597577459874,★,65.22
600383,金地集团,-18.689406191700865,,19.04
300238,冠昊生物,-18.587000364003025,,74.87
000979,中弘股份,-18.447940504992822,,121.01
300471,厚普股份,-18.43573760363074,★,37.04
002086,东方海洋,-18.4192844669812,,47.61
600241,时代万恒,-18.400066877038036,,102.68
603222,济民制药,-18.348650977928273,,72.99
601155,新城控股,-18.30313661642069,,29.03
000662,天夏智慧,-18.211073380822064,,35.88
603079,圣达生物,-18.19505350574073,★,45.64
002366,台海核电,-18.10405919363459,,26.28
603699,纽威股份,-18.07901614009727,,59.33
603659,璞泰来,-17.970773846364562,,39.75
300278,华昌达,-17.890637404189725,,110.09
002517,恺英网络,-17.66468614328399,,21.73
000638,万方发展,-17.65187590080749,★,81.57
300093,金刚玻璃,-17.467256363798523,★,96.97
002129,中环股份,-17.396325390194555,★,37.82
603429,集友股份,-17.333691656796578,★,46.05
002661,克明面业,-17.301130663467735,,29.74
002437,誉衡药业,-17.296653744711154,,32.68
002113,天润数娱,-17.104215707590676,,329.37
300010,立思辰,-17.093183345018083,,96.0
600735,新华锦,-17.015897981100114,,52.9
600456,宝钛股份,-16.912377986765957,★,0.0
603998,方盛制药,-16.4700618953896,,40.4
002402,和而泰,-16.367673553357363,,33.39
603936,博敏电子,-16.25741450986945,,46.73
002857,三晖电气,-16.25101166624441,★,75.05
000558,莱茵体育,-16.242594288819824,★,305.46
600851,海欣股份,-16.225677005927817,★,102.77
002143,印纪传媒,-16.16897911294799,,38.33
002146,荣盛发展,-16.137157294903048,,13.31
002538,司尔特,-15.949206397589888,,30.94
603029,天鹅股份,-15.811815294736586,★,0.0
300290,荣科科技,-15.760401163618809,,139.68
600074,ST保千里,-15.751924308306842,★,10.42
603157,拉夏贝尔,-15.668072400888477,★,19.48
001979,招商蛇口,-15.609884930984453,,36.85
000983,西山煤电,-15.57126538021275,★,16.52
002427,ST尤夫,-15.353178098463015,,38.96
000537,广宇发展,-15.308184681351811,,145.94
000069,华侨城Ａ,-15.269800676180555,,11.32
002122,天马股份,-15.265617514908014,,202.19
002500,山西证券,-15.253084830888696,★,42.63
300364,中文在线,-15.157829322186778,★,148.59
300410,正业科技,-15.106877413590492,★,34.06
002923,润都股份,-15.053456091792917,★,38.93
600546,山煤国际,-15.011716613239635,★,38.71
603043,广州酒家,-14.990918363183924,★,27.66
300317,珈伟股份,-14.9500720295212,,28.03
603260,合盛硅业,-14.914949174884761,★,30.24
603538,美诺华,-14.897672830216923,,56.48
300444,双杰电气,-14.789666311024641,,135.38
603813,原尚股份,-14.717948846682882,★,47.55
000060,中金岭南,-14.710124090910826,★,21.34
300090,盛运环保,-14.676783281142336,,2458.88
600512,腾达建设,-14.6561509764776,,33.23
000593,大通燃气,-14.55385418935452,★,389.79
300412,迦南科技,-14.429765409632022,★,39.26
300469,信息发展,-14.421255324573023,★,972.82
600030,中信证券,-14.234599145891957,★,21.38
300247,乐金健康,-14.160953328534209,,56.14
601001,大同煤业,-14.132875386703137,★,12.03
600466,蓝光发展,-14.067248114433117,,28.43
300477,合纵科技,-14.041413209545638,,67.32
