code,name,past_p_change,past_positive
000158,常山北明,-9.59616977187,★
600220,江苏阳光,-9.59022319749,★
002204,大连重工,-9.58788981815,★
000652,泰达股份,-9.58538197293,★
600894,广日股份,-9.5814231194,★
600836,界龙实业,-9.57659283379,★
000758,中色股份,-9.57336608564,★
002079,苏州固锝,-9.56882650595,
000928,中钢国际,-9.56366623993,★
300468,四方精创,-9.56294510857,
600470,六国化工,-9.55886490577,★
600031,三一重工,-9.55748809299,★
601599,鹿港文化,-9.55697857584,★
002629,仁智股份,-9.55450699583,★
600973,宝胜股份,-9.54164821748,
600160,巨化股份,-9.53277502246,★
600240,华业资本,-9.51599800059,★
000993,闽东电力,-9.50767765999,★
600958,东方证券,-9.50737177218,
600021,上海电力,-9.50493193009,★
600805,悦达投资,-9.49236044625,★
002677,浙江美大,-9.49101220757,★
300209,天泽信息,-9.48519646789,
600614,鹏起科技,-9.48367801092,
600675,中华企业,-9.48148935501,★
300306,远方信息,-9.48048242662,★
601777,力帆股份,-9.46970763931,★
601872,招商轮船,-9.4589111891,★
600293,三峡新材,-9.45831546785,★
002831,裕同科技,-9.44498531674,★
600701,工大高新,-9.42891347883,★
002636,金安国纪,-9.42499367296,★
002021,中捷资源,-9.42320179499,★
002739,万达电影,-9.41410562568,
600444,国机通用,-9.41272383178,★
600243,青海华鼎,-9.41193050292,★
300552,万集科技,-9.40863334947,★
600116,三峡水利,-9.40101383645,★
603826,坤彩科技,-9.40087740688,★
600748,上实发展,-9.39184809071,★
600488,天药股份,-9.38728277332,★
002775,文科园林,-9.38704475374,★
600403,*ST大有,-9.38244696518,★
600982,宁波热电,-9.37989934502,★
600268,国电南自,-9.35733505056,★
000153,丰原药业,-9.35717538379,★
002373,千方科技,-9.35144010899,
600478,科力远,-9.34095590699,★
600839,四川长虹,-9.32945624699,★
600326,西藏天路,-9.32443520353,★
600006,东风汽车,-9.32372629052,★
002912,中新赛克,-9.32281475313,★
600373,中文传媒,-9.31479099736,★
000979,中弘股份,-9.31232073876,
002216,三全食品,-9.30251928825,★
002597,金禾实业,-9.30215775211,★
000819,岳阳兴长,-9.2981807502,★
600694,大商股份,-9.2961561084,★
002551,尚荣医疗,-9.28931030855,★
002199,东晶电子,-9.2809542725,
002145,中核钛白,-9.27540010655,★
002197,证通电子,-9.27488841298,★
600530,交大昂立,-9.27246986796,★
601028,玉龙股份,-9.26950726064,★
603198,迎驾贡酒,-9.26946354901,★
300078,思创医惠,-9.26394930788,★
002367,康力电梯,-9.25989703548,★
002171,楚江新材,-9.24581258288,★
000548,湖南投资,-9.2448711291,★
002360,同德化工,-9.22607523446,★
002233,塔牌集团,-9.2235971658,★
