,ts_code,name,main_business,business_scope
814,002353.SZ,杰瑞股份,"油田专用设备的研发,生产,销售和维修改造与配件销售,以及提供油田工程技术服务和油田工程建设服务.公司目前油田专用设备制造板块以固井设备,压裂设备,天然气压缩设备为主要产品.",经依法登记，公司的经营范围为：油田专用设备、油田特种作业车、油田专用半挂车的生产、组装、销售、维修、租赁(不含国家专项规定需要审批的设备)；油田设备、矿山设备、工业专用设备的维修、技术服务和配件销售；为石油勘探和钻采提供工程技术服务；机电产品(不含品牌汽车)、专用载货汽车、牵引车、挂车的销售、租赁；油田专用设备和油田服务技术的研究和开发；计算机软件开发、自产计算机软件销售；仓储业务；货物及技术的进出口(国家禁止的除外，须许可经营的凭许可证经营)。
815,002354.SZ,天神娱乐,主营业务:网页网游和移动网游的研发和发行业务.,娱乐性展览；软件开发及相关的技术咨询与服务；信息服务业务(仅限互联网信息服务)(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
816,002355.SZ,兴民智通,"主要产品:乘用车钢制车轮,轻型卡车钢制车轮,重型卡车钢制车轮,拖车钢制车轮,农林机械钢制车轮,雪地轮六大系列;车联网硬件产品,车辆测试与数据采集系统及数据运营服务;车联网运营服务.主营业务:钢制车轮业务,智能网联汽车业务,车联网运营服务.",计算机软件开发、测控系统集成、计量系统集成；数据库、车辆远程管理信息系统、液晶模组信号测试系统、电子产品、电子测试设备、环境试验设备、车轮产品、复合材料产品的研发、生产与销售；橡塑制品、钢化玻璃、计算机软硬件及配件、五金配件、农用运输车及钢材的销售；经营本企业自产产品及技术的出口业务，经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；技术服务；设备租赁；场地租赁；自有房屋租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
817,002356.SZ,赫美集团,"电子式电能表及电力自动化管理系统及终端系列产品研发,生产,销售.本公司主要产品包括全电子式电能表系列产品和用电自动化管理系统及终端产品.电子式电能表系列主要包括单相电子式电能表和三相电子式电能表两个大类.",国内贸易(不涉及国家规定的外商投资准入特别措施项目)；珠宝首饰、工艺品、服装、箱包、眼镜的零售、批发、进出口及相关配套业务；观光休闲旅游与生态农业项目策划及相关咨询服务(涉及法律、行政法规、国务院决定规定需另行办理相关经营项目审批的，按国家有关规定办理申请)；品牌策划、推广；分布式储能系统的批发(涉及专项规定的取得相关许可后方可经营)；电力工程安装、调试及维护；研发生产经营电工仪器仪表、电动汽车充电设施、微电子及元器件、水电气热计量自动化管理终端及系统、成套设备及装置、电力管理终端、购电预付费装置、RFID读写器系列、无线产品系列、油田及配电网数据采集、能源监测、仪表自动测试、分布式能源及合同能源管理系统；上述相关业务的软件开发、系统集成及技术服务；销售公司自产产品；经营货物及技术进出口(不含进口分销及国家专营专控商品)。(以上项目特许经营除外；不得涉及外商投资准入特别管理措施项目；不得涉及国营贸易管理商品；涉及配额、许可证管理商品的，按国家有关规定办理申请)
818,002357.SZ,富临运业,"主营业务:汽车客运站经营和汽车客,货运输;公司主要提供汽车客运站服务和汽车客,货运输服务.",汽车客、货运输，客运站经营，石油制品销售，汽车租赁服务，仓储服务，停车服务，货运信息服务，汽车一级、二级维护，汽车美容，汽车、小汽车专项修理(限于分公司经营)，汽车配件销售，保险兼业代理(货物运输保险、机动车辆保险、企业财产保险、意外伤害保险、责任保险)，企业管理服务、经纪代理服务、人力资源服务、安保服务及其他现代服务等经营项目。
819,002358.SZ,森源电气,"主要产品:40.5kV和12kV高压成套开关设备,40.5kV和12kV高压真空断路器,12kV高压隔离开关,0.4kV低压成套设备等,其广泛应用于电力,煤炭,冶金,石化,建材,市政等各领域.主营业务:生产和销售40.5kV和12kV两个电压等级的高压开关成套设备和12kV高压隔离开关.",高低压配电成套装置、高压电器元器件系列产品开发、生产和销售；变压器及变压器台成套系列产品研发、设计、生产和销售；新能源发电(太阳能、风能等)场站及配套电力设施的研发、设计、生产、建设、施工、安装等；轨道交通及铁路电气化系列产品的研发、设计、生产和销售；岸电设施、充电桩(站)及节能减排设施的研发、设计、生产、销售和运维；智能制造(机器人)的研发、设计、生产、集成和销售及运维；从事货物及技术进出口业务(国家法律法规规定应经审批方可经营或禁止进出口的货物和技术除外)。工程技术咨询服务，电力工程总承包，电力工程设计，对外劳务合作。
820,002359.SZ,北讯集团,"主营业务:电信业务包括无线数据通信,卫星通信,互联网接入,信息服务,多方通信,呼叫中心等业务,铁塔业务主要产品为输电塔,通讯塔.",通信技术推广、技术开发、技术转让、技术咨询、技术服务；销售通信设备；租赁通信设备。本单位制造机械式停车设备安装、改造、维修(有效期限以许可证为准)生产销售铁塔、钢管塔、架构、管道和钢管柱及建筑用轻钢厂房、停车设备；本公司产品的出口业务及所需原材料的进口业务；公路标志、标线、护栏、隔离栅、防眩板工程施工及安装；机械式立体停车设备的维护及技术服务，承包与其实力、规模、业绩相适应的国外工程项目；备案范围内的进出口业务；经营电信业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
821,002360.SZ,同德化工,"主要产品:工业炸药和白炭黑.主营业务:工业炸药,白炭黑产品的生产与销售.",助剂产品、工程爆破设计施工及爆破技术咨询服务(限分支机构使用)、进出口本企业所需的原辅材料、仪器、仪表及零配件(国家禁止进口的品种除外)并为本企业生产的产品使用技术咨询服务、售后服务;研发、生产、销售二氧化硅系列产品(含饲料添加剂)、硝铵、乳化、粉乳、铵油及现场混装炸药等。
822,002361.SZ,神剑股份,主要产品为粉末涂料专用聚酯树脂.主营业务:化工新材料领域专业从事聚酯树脂系列产品的生产销售.,聚酯树脂、环氧树脂、TGIC固化剂、流平剂、增光剂(不含危险品)制造、销售；化工原料(不含危险品)销售；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务，但国家限定公司经营或禁止进口的商品及技术除外。
823,002362.SZ,汉王科技,"从事“以模式识别为核心的智能人机交互”领域的产品(服务)开发及销售.主要产品和服务为:手写产品,OCR产品,技术授权,基于信息采集行业应用类产品,电纸书,人脸识别产品.",技术开发、技术转让、技术咨询、技术服务、技术培训；电脑图文设计、制作；计算机网络安装、维修；承办展览展示；投资咨询、经济信息咨询；购销计算机软硬件及外部设备、机械电器设备、通讯设备(不含无线电发射设备)、五金交电、化工产品(不含危险化学品级一类易制毒化学品)、橡胶制品、塑料制品、建筑材料、民用建材、金属材料；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外;数据处理。
