,ts_code,name,main_business,business_scope
824,002363.SZ,隆基机械,"主要产品:汽车制动盘,普通制动毂,载重车制动毂,刹车片,轮毂,制动钳和其他铸件等.主营业务:汽车制动部件领域中制动盘,制动毂等产品的相关业务.","生产、销售盘式制动器总成、制动毂、制动盘、轮毂、刹车片、刹车蹄片、锻件、铸件及木具、塑料、纸盒包装制品(依法须经批准的项目,经相关部门批准后方可开展经营活动，有效期以许可证为准)及进出口业务。(最终以工商局核准的经营范围为准)"
825,002364.SZ,中恒电气,"主要产品:公司的主要产品为高频开关电源系统(包括通信电源系统和电力操作电源系统).主营业务:本公司从事高频开关电源系统的研发,生产,销售和服务,",高频开关电源设备，不间断电源设备，逆变器，光纤通信设备，电力自动化设备，电动汽车充换电设施、低压成套开关设备、计算机软、硬件及配件的生产、销售、技术开发、技术服务、技术咨询、技术转让，新能源汽车充换电站建设与运营服务，数据中心计算机系统集成工程(含动力及环境控制设备)的设计、施工、技术咨询、技术服务及技术培训，机房环境控制设备、节能产品、动力环境监控系统的设计、研发、销售及技术咨询、管理和服务，从事进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
826,002365.SZ,永安药业,"本公司主要从事牛磺酸产品的研发,生产和销售,公司主要产品为牛磺酸.",原料药的生产、销售；食品添加剂的生产、销售；饲料添加剂的生产、销售；环氧乙烷(4万吨/年)、液氧(4.5万吨/年)、液氮(4.4万吨/年)自产自销；经营本企业自产产品及相关技术的出口业务；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务；开展本企业的进料加工和“三来一补”业务。(涉及许可经营项目，应取得相关部门许可后方可经营)
827,002366.SZ,台海核电,"主要业务:核电专用设备,其他专用设备,石化装备的制造和销售;成套设备的设计,制造,销售及安装售后服务等业务;钴精矿销售业务;核级材料的销售业务",能源设备制造；专用机械及成套设备、金属制品的设计、制造以及技术服务，并销售公司上述所列自产产品；国际、国内贸易及技术的进出口(法律法规限制商品按规定执行)；国家政策范围内允许的投资、投资咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
828,002367.SZ,康力电梯,"主要产品:电梯,自动扶梯,自动人行道及成套配件.主营业务:电梯,自动扶梯,自动人行道及成套配件产品研发,生产,销售及整机产品的安装和维保.",制造加工销售电梯、自动扶梯、自动人行道，以及相关配件；提供电梯、自动扶梯、自动人行道的安装、改造、修理、维护保养，以及相关技术咨询服务；制造加工销售停车设备、电控设备、光纤设备，以及相关配件；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)；货运代理服务。
829,002368.SZ,太极股份,"主要产品:1,行业解决方案与服务,2,IT咨询,3,IT产品增值服务.主营业务:云服务,网络安全服务,智慧应用与服务和系统集成服务.",电子计算机及外部设备、集成电路、软件及通信设备化技术开发、设计、制造、销售、维护；承接计算机网络及应用工程；信息系统集成、电子系统工程、建筑智能化工程的设计、技术咨询及安装；专业承包；安全防范工程的设计与安装；提供信息系统规划、设计、测评、咨询；自营和代理各类商品和技术的进出口，但国家限定公司经营的或禁止的进出口商品和技术除外；物业管理；机动车公共停车场服务；医疗软件开发；销售医疗器械II类；电力供应。(企业依法自主选择经营项目，开展经营活动；电力供应以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)
830,002369.SZ,卓翼科技,"主营业务为以ODM/EMS模式为国内外的品牌渠道商提供网络通讯终端类和便携式消费电子类产品的合约制造服务.主要产品为网络通讯类:ADSL调制解调器,WIFI无线产品,以太网产品,数字电视机顶盒等;消费电子类:便携式音视频产品,GPS等.",一般经营项目：计算机周边板卡、消费数码产品、通讯网络产品、音响产品、广播电影电视器材、调制解调器(不含卫星电视广播地面接收设施)、U盘、MP3、MP4、数字电视系统用户终端接收机、网络交换机、无线网络适配器、无线路由器、VOIP网关、VOIP电话、IP机顶盒的组装生产(在许可有效期内生产)；手机和平板电脑等移动手持终端的生产(由分支机构经营，执照另行申办)；技术开发、购销、电子产品的购销及其他国内商业、物资供销业(不含专营、专控、专卖商品)；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；机械设备租赁(不配备操作人员的机械设备租赁，不包括金融租赁活动)；汽车租赁(不包括带操作人员的汽车出租)；计算机与通讯设备租赁。许可经营项目：无。
831,002370.SZ,亚太药业,"主营业务为化学制剂药的研发,生产和销售.公司产品目前共有89个药品规格,就药品大类而言,抗生素类药品是公司的主导产品种类.",片剂(含青霉素类)、硬胶囊剂(含头孢菌素类、青霉素类)、透皮贴剂(激素类)、冻干粉针剂粉针剂(头孢菌素类)的生产(详见《中华人民共和国药品生产许可证》)，原料药的生产(详见《中华人民共和国药品生产许可证》)，经营进出口业务(国家法律法规禁止或者限制的除外)，医药相关产业项目的研究、投资与管理。
832,002371.SZ,北方华创,"主营业务:从事基础电子产品的研发,生产,销售和技术服务业务.主要产品为大规模集成电路制造设备和电子元件.",组装生产集成电路设备、光伏设备、TFT设备、真空设备、锂离子电池设备、流量计、电子元器件；销售集成电路设备、光伏设备、TFT设备、真空设备、锂离子电池设备、流量计、电子元器件；技术咨询、技术开发、技术转让；经济贸易咨询；投资及投资管理；货物进出口；技术进出口；代理进出口。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)
833,002372.SZ,伟星新材,"专业从事高质量,高附加值新型塑料管道的研发,生产和销售.主要产品为无规共聚聚丙烯(PPR)系列管材及管件,聚乙烯(PE)系列管材及管件,高密度聚乙烯(HDPE)双壁波纹管和聚丁烯(PB)管材管件等.",普通货运，塑料管道、泵、阀门制造、加工，塑料管道、新型建筑材料及原辅辅料、卫生洁具、水表、泵、阀门批发、零售，净水设备、防水材料的研发和销售，从事进出口业务。
834,002373.SZ,千方科技,"主要产品:智慧交通产品,视频监控产品.主营业务:智慧交通和智慧安防.",技术开发；技术推广；技术转让；技术咨询；技术服务；计算机系统服务；数据处理；软件开发；计算机维修；销售计算机、软件及辅助设备、五金、交电、广播电视设备、机械设备、文化用品、金属材料、电子产品、自行开发的产品；货物进出口；技术进出口；代理进出口；专业承包；工程勘察设计；设备租赁；基础软件服务；应用软件服务；设计、制作、代理、发布广告；第二类增值电信业务中的呼叫中心业务和信息服务业务(不含固定网电话信息服务和互联网信息服务)(增值电信业务经营许可证有效期至2019年09月30日)。
835,002374.SZ,丽鹏股份,"主营业务为铝板复合型防伪印刷和防伪瓶盖的生产,销售及相关业务.主要产品包括复合型防伪印刷铝板,铝防伪瓶盖和组合式防伪瓶盖.",铝板轧制、印铁、涂料、瓶盖加工、模具制作、橡胶塑料制品、机械设备、针纺织品、服装鞋帽的加工销售、五金交电、建筑装饰材料、机电产品(不含小轿车)、日用百货，农副产品销售(以上均不含专营专控)；经营本企业自产产品及相关技术的出口业务，本企业生产、科研所需的原辅材料、机械设备、仪器仪表，零配件及相关技术的进口业务；本企业的进料加工和“三来一补”业务(国家法律法规禁止项目除外，需经许可经营的，须凭许可证经营)；太阳能发电销售。
836,002375.SZ,亚厦股份,"主营业务:大型公共建筑装饰工程,建筑幕墙装饰工程和高档住宅精装修工程的设计和施工","建筑装饰装修工程、建筑幕墙工程、钢结构工程、消防工程、水电工程、建筑智能化工程的设计、施工，石材加工，建筑幕墙、铝制品、金属门窗、建筑装饰材料、五金制品、家俱、木制品的生产、销售，广告设计、制作，经营进出口业务，承包境外建筑装修装饰、建筑幕墙工程和境内国际招标工程，承包上述境外工程的勘测、咨询、设计和监理项目，承包上述境外工程所需的设备、材料，对外派遣实施上述境外工程所需的劳务人员。(凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)"
837,002376.SZ,新北洋,"主要产品:收据/日志打印机,条码/标签打印机,嵌入式打印机及相关产品主营业务:专用打印机及相关产品的研发,生产,销售和服务.",集成电路及计算机软件的开发、生产、销售、服务；计算机硬件及外部设备电子及通讯设备(不含无线电发射设备)、仪器仪表及文化办公用机械产品的开发、生产、销售、服务；钣金、塑料制品、模具加工；资格证书范围内自营进出口业务；资质证书范围税控收款机及相关产品、电子收款机的开发、生产、销售、服务。
838,002377.SZ,国创高新,"主营业务是改性沥青,乳化沥青产品的开发,生产与销售.房地产中介服务","沥青系列产品的研发、生产、销售、仓储及物流；承接沥青路面工程；环保工程技术开发及应用；电子产品及相关设备的销售；计算机软件、硬件及相关网络技术的开发、设计、技术咨询和销售；企业管理咨询,房产经纪,房产信息咨询,自有物业租赁；货物进出口、技术服务、技术咨询、技术进出口(国家限制和禁止进出口的货物和技术除外)。"
