code,name,past_5_p_change
002178,延华智能,-40.9837991683
002760,凤形股份,-40.9444411871
300110,华仁药业,-34.7277396002
300064,豫金刚石,-33.5387091575
002569,步森股份,-33.2073747024
603499,翔港科技,-32.7678581404
300157,恒泰艾普,-31.0972316049
603988,中电电机,-30.881851366
600227,赤天化,-30.5635509356
603058,永吉股份,-28.9881329424
002596,海南瑞泽,-27.7369998482
002054,德美化工,-27.6474163322
002856,美芝股份,-27.6036232249
002069,獐子岛,-27.5391304604
000503,海虹控股,-26.8226791233
603011,合锻智能,-26.3349954002
603637,镇海股份,-25.8481947539
002579,中京电子,-25.485420462
603088,宁波精达,-24.7282047449
002129,中环股份,-24.7280123118
002650,加加食品,-24.7048143787
601838,成都银行,-24.6596583277
300042,朗科科技,-24.1125057997
002012,凯恩股份,-24.0733622702
002694,顾地科技,-23.9120373902
300412,迦南科技,-23.8692382328
300225,金力泰,-23.6974049602
300680,隆盛科技,-23.59193907
600903,贵州燃气,-23.299818653
000806,银河生物,-22.8693314818
002161,远 望 谷,-22.5903676444
002188,ST巴士,-22.573035022
300739,明阳电路,-22.4891018564
000820,神雾节能,-22.3663226087
000638,万方发展,-22.0248115152
600818,中路股份,-22.000067559
300566,激智科技,-21.6053232335
603286,日盈电子,-21.4979708956
002606,大连电瓷,-21.2891914699
300237,美晨生态,-21.0913973556
603079,圣达生物,-21.0381372814
603603,博天环境,-20.2963936911
600355,精伦电子,-20.1574391492
603222,济民制药,-20.1165435176
002212,南洋股份,-19.8902474042
002288,超华科技,-19.7284432765
300167,迪威迅,-19.679869852
300266,兴源环境,-19.3885805197
002213,特 尔 佳,-19.3457303977
300156,神雾环保,-19.2169407242
300312,邦讯技术,-19.2071717235
600804,鹏博士,-19.0839952013
002297,博云新材,-18.9682674102
300471,厚普股份,-18.8715883502
300495,美尚生态,-18.6929580799
600401,*ST海润,-18.6879249344
600112,*ST天成,-18.4023486396
300238,冠昊生物,-18.3788137683
603659,璞泰来,-18.0199704655
603676,卫信康,-17.994661092
002661,克明面业,-17.8817786505
002076,雪 莱 特,-17.7471859742
600506,香梨股份,-17.6312413875
300290,荣科科技,-17.2161857069
000558,莱茵体育,-16.8018020222
000593,大通燃气,-16.7837389089
000693,*ST华泽,-16.6081871298
601101,昊华能源,-16.5393278296
000506,中润资源,-16.4550635646
300317,珈伟股份,-16.2568116168
002847,盐津铺子,-16.2502409093
000929,兰州黄河,-16.2331372911
300256,星星科技,-16.1853920443
300213,佳讯飞鸿,-16.095018062
002402,和而泰,-16.0944585413
002437,誉衡药业,-16.0848597202
300444,双杰电气,-16.0549784292
603699,纽威股份,-15.8652765338
300737,科顺股份,-15.773449554
300364,中文在线,-15.7734439311
601800,中国交建,-15.7384655227
300326,凯利泰,-15.731280555
600359,新农开发,-15.7212361112
600875,东方电气,-15.7116394471
002209,达 意 隆,-15.6891105688
603477,振静股份,-15.6610349775
603998,方盛制药,-15.5729724028
300089,文化长城,-15.5102029841
000663,永安林业,-15.4796500194
002470,金正大,-15.4758417287
300273,和佳股份,-15.4051271656
603398,邦宝益智,-15.3768378082
300708,聚灿光电,-15.3341777218
600735,新华锦,-15.3159735909
002893,华通热力,-15.312001178
600255,梦舟股份,-15.2646066784
002321,华英农业,-15.1911769486
002926,华西证券,-15.0563347126
000018,神州长城,-14.9279424502
603080,新疆火炬,-14.9061602963
300738,奥飞数据,-14.8137921437
300410,正业科技,-14.7903089675
300612,宣亚国际,-14.7710885436
002122,天马股份,-14.7587701532
603028,赛福天,-14.7048331232
300247,乐金健康,-14.6249602367
000613,*ST东海A,-14.5574186314
601390,中国中铁,-14.3389573624
002113,天润数娱,-14.294763292
002427,ST尤夫,-14.2713059758
600682,南京新百,-14.254723315
603444,吉比特,-14.2538747852
002143,印纪传媒,-14.2010531528
002086,东方海洋,-14.1773430592
000756,新华制药,-14.0840394522
002622,融钰集团,-14.0415476937
300058,蓝色光标,-14.0367468871
600241,时代万恒,-13.956257244
000983,西山煤电,-13.8647713344
603778,乾景园林,-13.8352580893
002879,长缆科技,-13.8285210654
300522,世名科技,-13.7975879516
002865,钧达股份,-13.7760856374
600971,恒源煤电,-13.6996375038
600803,新奥股份,-13.5719978868
600985,雷鸣科化,-13.5614209545
002168,深圳惠程,-13.5227159263
601628,中国人寿,-13.4360344946
600074,ST保千里,-13.4158976614
000586,汇源通信,-13.4102784903
601015,陕西黑猫,-13.3099838752
002231,奥维通信,-13.29467745
300477,合纵科技,-13.2789977757
002662,京威股份,-13.243653615
002509,天广中茂,-13.2039816405
600856,中天能源,-13.0670646389
601998,中信银行,-12.8891052978
000793,华闻传媒,-12.7629210937
600512,腾达建设,-12.710526319
600076,康欣新材,-12.7016937021
300128,锦富技术,-12.7006095719
603718,海利生物,-12.6964714464
002721,金一文化,-12.676424398
601001,大同煤业,-12.5771265401
600290,华仪电气,-12.5692422783
002278,神开股份,-12.4473882547
603538,美诺华,-12.4246843784
002684,猛狮科技,-12.4213647195
000060,中金岭南,-12.3489139342
300348,长亮科技,-12.3312591453
603009,北特科技,-12.299279601
600869,智慧能源,-12.262323476
000606,神州易桥,-12.2144107104
601336,新华保险,-12.1611624102
002413,雷科防务,-12.1390906901
002742,三圣股份,-12.104028502
600497,驰宏锌锗,-12.0781039939
300059,东方财富,-12.0716179255
603655,朗博科技,-12.0460923008
600362,江西铜业,-12.0247139189
300033,同花顺,-11.9804570686
300278,华昌达,-11.9741174697
600069,银鸽投资,-11.8820092699
300159,新研股份,-11.8732985549
002198,嘉应制药,-11.8514879182
603066,音飞储存,-11.8251166814
603843,正平股份,-11.8212165715
002128,露天煤业,-11.7534189567
600997,开滦股份,-11.7052564349
300041,回天新材,-11.7015608803
000835,长城动漫,-11.6894216806
601186,中国铁建,-11.6067976425
002085,万丰奥威,-11.5929228334
600688,上海石化,-11.5902733182
600680,*ST上普,-11.5536299198
002512,达华智能,-11.5119298512
600395,盘江股份,-11.4813013767
600568,中珠医疗,-11.4587860396
600547,山东黄金,-11.4479100046
002907,华森制药,-11.4193853654
002538,司尔特,-11.39971399
603813,原尚股份,-11.3439853864
603226,菲林格尔,-11.2575508742
600959,江苏有线,-11.2183416503
600028,中国石化,-11.1974401835
600546,山煤国际,-11.1942566755
600123,兰花科创,-11.1480259208
002070,*ST众和,-11.1400394497
600068,葛洲坝,-11.1203561096
000592,平潭发展,-11.1120095748
600958,东方证券,-11.1002795167
300086,康芝药业,-11.0422493136
603333,明星电缆,-10.9353924536
600409,三友化工,-10.9247669737
600086,东方金钰,-10.8586590585
601766,中国中车,-10.8404791554
002500,山西证券,-10.8050011134
002384,东山精密,-10.7859708568
601898,中煤能源,-10.658990433
600212,江泉实业,-10.6099500901
300607,拓斯达,-10.60693927
300198,纳川股份,-10.6009407567
002428,云南锗业,-10.50590706
002237,恒邦股份,-10.4580218704
000959,首钢股份,-10.4452166729
600715,文投控股,-10.4118059023
002451,摩恩电气,-10.3956576044
300725,药石科技,-10.3741563012
002923,润都股份,-10.259824839
603506,南都物业,-10.1234098033
300279,和晶科技,-10.0881033835
000552,靖远煤电,-10.0769347544
600531,豫光金铅,-10.0660448327
600740,山西焦化,-10.0502938292
600485,信威集团,-10.0495013275
601899,紫金矿业,-9.96169253233
600515,海航基础,-9.93384872922
300208,恒顺众昇,-9.91347373606
300325,德威新材,-9.89449971104
000728,国元证券,-9.85712585208
601668,中国建筑,-9.82076459948
000633,合金投资,-9.81017500397
000979,中弘股份,-9.7833713692
002839,张家港行,-9.75040562911
002910,庄园牧场,-9.73421192954
000488,晨鸣纸业,-9.72916334253
600999,招商证券,-9.70477928856
600115,东方航空,-9.70321242468
600319,亚星化学,-9.7005921538
600030,中信证券,-9.6787929592
300027,华谊兄弟,-9.62318984895
600179,安通控股,-9.56625551933
002799,环球印务,-9.55488010716
600583,海油工程,-9.53765071027
300090,盛运环保,-9.49813000487
000937,冀中能源,-9.47491806857
601128,常熟银行,-9.44958713
300434,金石东方,-9.40407839755
600185,格力地产,-9.35295531732
002857,三晖电气,-9.31098592502
002911,佛燃股份,-9.30396713185
600919,江苏银行,-9.21311317327
002471,中超控股,-9.21163046759
002692,睿康股份,-9.20306288084
000789,万年青,-9.19671085144
002688,金河生物,-9.19141643034
300294,博雅生物,-9.18986074273
600129,太极集团,-9.1735252084
601808,中海油服,-9.16765834146
002373,千方科技,-9.15904108192
601098,中南传媒,-9.15647125444
600621,华鑫股份,-9.09794807145
000662,天夏智慧,-9.04418818427
600231,凌钢股份,-9.03651388667
001965,招商公路,-8.95637466846
601818,光大银行,-8.85239195725
000150,宜华健康,-8.81989933898
002051,中工国际,-8.76892412519
601198,东兴证券,-8.75352074698
002301,齐心集团,-8.72244418797
603323,吴江银行,-8.67835942161
300013,新宁物流,-8.67537273911
601618,中国中冶,-8.67171570516
601688,华泰证券,-8.65971721348
603703,盛洋科技,-8.6407123101
601328,交通银行,-8.63399248092
603136,天目湖,-8.6069902167
601666,平煤股份,-8.58219811713
300209,天泽信息,-8.56631204417
002229,鸿博股份,-8.54649165895
601211,国泰君安,-8.52517769601
601678,滨化股份,-8.52147280176
600121,*ST郑煤,-8.4965300127
002715,登云股份,-8.47921161619
601212,白银有色,-8.47464840654
603683,晶华新材,-8.47336863635
002366,台海核电,-8.47317381673
300021,大禹节水,-8.45672331779
002669,康达新材,-8.45382653986
600449,宁夏建材,-8.43534739752
600325,华发股份,-8.42229109431
601601,中国太保,-8.38479717292
000048,康达尔,-8.36127134571
600528,中铁工业,-8.33782905961
601375,中原证券,-8.32531539151
300104,乐视网,-8.30934297283
601086,国芳集团,-8.23210669216
600226,瀚叶股份,-8.21418532055
600354,敦煌种业,-8.13748992679
002256,兆新股份,-8.12108532173
002571,*ST德力,-8.06502776803
300337,银邦股份,-8.06306773597
603289,泰瑞机器,-8.05776273953
600720,祁连山,-8.05660787582
600009,上海机场,-8.04912832735
603557,起步股份,-8.02710096032
300356,光一科技,-8.02702329268
002058,威 尔 泰,-8.01056219574
601168,西部矿业,-8.00231698929
601997,贵阳银行,-7.9681966014
601088,中国神华,-7.95143310376
603056,德邦股份,-7.94921993707
002492,恒基达鑫,-7.94605765852
300469,信息发展,-7.93004306159
000732,泰禾集团,-7.91640286002
300191,潜能恒信,-7.90882196582
002369,卓翼科技,-7.8988055121
600126,杭钢股份,-7.87892192645
603466,风语筑,-7.86232384893
002016,世荣兆业,-7.8257597429
000737,*ST南风,-7.82089953667
601699,潞安环能,-7.81188895011
601989,中国重工,-7.7934398257
300343,联创互联,-7.77288580792
600711,盛屯矿业,-7.77162033608
600508,上海能源,-7.74961850373
300107,建新股份,-7.74526126081
603970,中农立华,-7.74084097084
600801,华新水泥,-7.71645751247
002592,八菱科技,-7.70136680798
600023,浙能电力,-7.69262866046
601225,陕西煤业,-7.66110066075
002445,中南文化,-7.6022794326
600614,鹏起科技,-7.5929207395
000616,海航投资,-7.56930397181
002807,江阴银行,-7.56288447905
600966,博汇纸业,-7.56138165301
600061,国投资本,-7.55118560841
601788,光大证券,-7.45986638603
002207,*ST准油,-7.45775510161
600837,海通证券,-7.45161513687
000971,高升控股,-7.4419146334
300081,恒信东方,-7.43250467715
000933,神火股份,-7.40806300247
002155,湖南黄金,-7.37927191041
603711,香飘飘,-7.37748421429
600569,安阳钢铁,-7.36172343632
002010,传化智联,-7.35531658201
000776,广发证券,-7.33002643153
300083,劲胜智能,-7.31921487736
